Actual,Predicted
11,24.57166
45,24.27295
18,18.3234
12,22.887257
17,18.148338
11,22.887257
12,22.887257
11,13.838683
20,23.09295
19,23.539463
21,23.783276
30,21.450151
21,23.09295
30,23.539463
23,17.211727
12,24.53799
25,19.687395
75,31.648342
75,31.648342
25,18.257614
15,22.70697
21,19.59056
11,22.594786
14,18.237936
47,27.16793
40,25.235605
47,27.16793
11,18.237936
20,21.573425
14,17.445074
30,26.964237
30,19.32811
12,19.32811
17,19.32811
15,21.076405
44,27.401493
18,20.19835
13,19.32811
27,25.977718
20,23.776524
30,32.690147
12,15.125521
20,20.166307
20,18.30744
27,26.872746
30,22.546703
30,20.441328
30,26.872746
50,32.815742
32,19.331512
40,21.70104
20,17.966738
100,32.815742
12,20.980494
21,18.850237
20,21.70104
14,17.403759
13,16.375502
100,33.4845
14,20.572008
30,33.682617
27,19.719854
20,19.423885
29,21.020409
50,33.768066
70,33.768066
27,19.63296
13,16.984325
15,16.875635
30,25.77331
11,17.483553
13,14.551032
28,19.83943
12,17.466423
12,15.959549
20,20.297455
18,16.453983
12,16.72146
12,16.72146
11,16.850214
11,19.2024
15,23.720692
60,24.900263
12,17.483553
13,18.095453
13,18.474306
17,18.206295
15,20.574179
20,21.68395
12,17.032766
12,18.372427
20,17.918356
72,32.690147
18,25.123268
50,32.690147
29,25.617205
20,22.394363
11,18.642872
50,22.56258
11,13.773818
20,18.509895
13,17.781996
17,19.412718
14,13.174086
21,20.570574
12,23.329706
26,25.123268
11,18.372427
20,23.329706
13,18.59553
13,19.499266
13,18.59553
23,15.701452
23,17.910427
38,25.598839
15,17.591627
50,25.175657
13,17.495478
20,18.7579
16,17.819218
30,22.715376
15,23.544426
21,24.9465
12,18.483482
13,16.792122
45,23.451004
12,16.714756
18,16.191458
21,19.400583
30,17.484568
17,15.981827
14,13.650336
13,13.650336
18,16.339516
12,17.667786
25,17.813974
20,18.31178
14,17.38431
19,17.400381
13,16.855602
30,22.810427
20,19.40372
50,30.389242
31,19.38203
12,22.327433
56,22.352932
17,18.167513
11,16.835651
12,18.304522
15,18.081282
20,20.332895
20,16.581694
14,17.765127
13,16.412626
11,13.64647
11,20.676916
16,15.624212
15,22.134615
12,17.667786
20,21.252953
13,17.38431
20,21.464527
32,25.446014
15,19.229233
12,18.821535
30,18.677353
20,20.332895
50,37.869434
20,18.196852
11,17.457321
12,16.857382
13,16.191458
12,17.209713
11,14.62901
12,17.524296
18,17.524296
12,16.031506
34,20.555336
25,26.62073
47,22.352932
20,17.654362
23,18.487362
19,17.173332
19,15.168364
12,16.191458
17,21.487709
12,20.676916
11,17.035728
16,17.77621
87,27.438707
50,22.028692
17,17.514347
22,17.514347
16,17.177471
28,18.056868
17,18.28521
18,19.299452
21,22.727638
12,19.781324
30,23.359598
20,24.973015
46,27.16362
59,28.503422
12,19.843609
12,20.181026
11,16.252052
30,22.940308
15,17.378187
18,22.172667
11,20.597044
15,17.48216
17,19.813927
16,15.823433
14,22.668352
60,23.583828
65,29.572195
12,21.10023
13,22.319138
17,28.137144
15,20.056906
79,28.137144
32,34.60681
65,34.60681
46,22.103512
16,22.514261
55,28.529354
13,20.410814
17,23.237413
20,20.911634
18,23.237413
70,28.576603
20,25.110474
11,16.656935
23,18.957684
13,21.552736
16,28.670355
27,28.670355
15,19.293964
42,20.39242
16,28.084375
